Bug ID,Type,Summary,Product,Component,Assignee,Status,Resolution,QA Contact,Reporter,Triage Owner,Version,platform-rel,Opened,Severity,Updated,Closed,Number of Comments,Keywords,Root Cause,Regressions,Has Regression Range,Bug Interest,Crash Signature,category
1121216,defect,tsan data race mani function,Core,XPCOM,nfroyd,RESOLVED,FIXED,,nfroyd,Nathan Froyd [:froydnj],unspecified, ---,13-01-2015 15:01,normal,23-09-2015 13:59,19-09-2015 04:39,11,, ---,, ---,,,['CONCURRENCY']
1118880,defect,nsiwebprogress shim need synchron use,Firefox,Extension Compatibility,nobody,RESOLVED,DUPLICATE,,bill.mccloskey,Jorge Villalobos [:jorgev] (he/him),34 Branch, ---,07-01-2015 11:19,normal,10-02-2016 14:59,07-04-2015 21:35,3,, ---,, ---,,,"['CONCURRENCY', 'PERFORMANCE', 'USABILITY']"
1128223,defect,add new flag imgicontain give caller control done synchron,Core,ImageLib,seth.bugzilla,RESOLVED,FIXED,,seth.bugzilla,Andrew Osmond [:aosmond],unspecified, ---,31-01-2015 19:20,normal,20-02-2015 19:29,03-02-2015 13:33,17,, ---,, ---,,,"['REGRESSION', 'CONCURRENCY']"
1125462,defect,imag stop lock tri stop ani run decod clean,Core,ImageLib,seth.bugzilla,NEW, ---,,seth.bugzilla,Andrew Osmond [:aosmond],unspecified, ---,23-01-2015 17:54,normal,27-07-2016 10:25,,5,feature, ---,, ---,,,"['CRASH', 'CONCURRENCY', 'PERFORMANCE', 'CLEAN', 'USABILITY']"
1122594,defect,post review comment hit error page error occur perform databas oper dbd fail deadlock found tri get lock tri restart transact,bugzilla.mozilla.org,Extensions,nobody,RESOLVED,DUPLICATE,,dholbert,David Lawrence [:dkl],Production, ---,16-01-2015 08:37,normal,15-10-2019 16:52,03-04-2015 14:56,3,, ---,, ---,,,"['USABILITY', 'CRASH', 'CONCURRENCY']"
1122021,defect,tsan data race initruntimenumberst,Core,JavaScript Engine,nfroyd,RESOLVED,FIXED,,nfroyd,Steven DeTar [:sdetar],unspecified, ---,15-01-2015 07:39,normal,26-02-2015 18:29,27-02-2015 02:29,5,, ---,, ---,,,['CONCURRENCY']
1120138,defect,mous wheel click scroll lock stop work sinc seamonkey,SeaMonkey,General,nobody,RESOLVED,DUPLICATE,,aviation,,SeaMonkey 2.32 Branch, ---,10-01-2015 16:45,normal,12-01-2015 07:43,12-01-2015 15:43,2,, ---,, ---,,,"['USABILITY', 'POLISH', 'CONCURRENCY', 'CRASH']"
1120591,defect,tsan data race updateforremovedarena,Core,JavaScript: GC,jcoppeard,RESOLVED,FIXED,,nfroyd,Jon Coppeard (:jonco),unspecified, ---,12-01-2015 11:56,normal,22-01-2015 14:34,22-01-2015 22:34,10,, ---,, ---,,,['CONCURRENCY']
1120537,defect,tsan data race setmainthreadobserv,Core,XPCOM,nobody,RESOLVED,WORKSFORME,,nfroyd,Nathan Froyd [:froydnj],unspecified, ---,12-01-2015 10:36,normal,15-01-2015 07:57,15-01-2015 15:57,6,, ---,, ---,,,['CONCURRENCY']
1121672,defect,tsan data race addstorageentri,Core,Networking: Cache,honzab.moz,RESOLVED,FIXED,,nfroyd,Nhi Nguyen (:nhi),unspecified, ---,14-01-2015 13:16,normal,13-01-2016 17:29,14-01-2016 01:29,14,, ---,, ---,,,['CONCURRENCY']
1125491,defect,onli lock dure decod initi decod,Core,ImageLib,seth.bugzilla,RESOLVED,FIXED,,seth.bugzilla,Andrew Osmond [:aosmond],unspecified, ---,24-01-2015 00:30,normal,20-02-2015 14:03,25-01-2015 19:45,11,, ---,, ---,,,['CONCURRENCY']
1117095,defect,updat download use wifi lock,Firefox for Android,Download Manager,esawin,RESOLVED,FIXED,general,kats,Stefan Arentz [:st3fan],unspecified, ---,02-01-2015 05:50,normal,05-02-2015 12:26,15-01-2015 13:38,14,, ---,, ---,,,"['PERFORMANCE', 'USABILITY', 'CONCURRENCY']"
1122070,defect,tsan data race dispatchintern,Core,Networking: Cache,michal.novotny,RESOLVED,FIXED,,nfroyd,Nhi Nguyen (:nhi),unspecified, ---,15-01-2015 09:03,normal,02-06-2015 04:16,02-06-2015 11:16,5,, ---,, ---,,,['CONCURRENCY']
1125591,defect,fatal assert manim anim frame lock,Core,ImageLib,nobody,RESOLVED,WORKSFORME,,dbaron,Andrew Osmond [:aosmond],Trunk, ---,24-01-2015 23:44,normal,02-09-2016 14:46,02-09-2016 21:22,5,"assertion, crash", ---,, ---,,,"['CONCURRENCY', 'CRASH']"
1126728,defect,race remov global user,support.mozilla.org,BuddyUp,anthony,RESOLVED,FIXED,,anthony,,unspecified, ---,28-01-2015 02:22,normal,02-02-2015 04:08,02-02-2015 10:53,4,, ---,, ---,,,"['CONCURRENCY', 'CLEAN']"
1127637,defect,pointer lock sensit break bananabread,Core,DOM: UI Events & Focus Handling,nobody,RESOLVED,DUPLICATE,,lukebenes,Hsin-Yi Tsai [:hsinyi],38 Branch, ---,29-01-2015 17:37,normal,13-03-2019 06:46,02-02-2015 20:19,5,, ---,, ---,,,"['CONCURRENCY', 'CRASH']"
1124154,defect,wait pars complet befor complet synchron,Calendar,Provider: GData,philipp,RESOLVED,FIXED,,philipp,,Trunk, ---,21-01-2015 04:22,normal,27-01-2015 16:18,28-01-2015 00:18,4,, ---,, ---,,,['CONCURRENCY']
1127289,defect,drawtargettil code path tiledcontentcli miss synchron code,Core,Graphics: Layers,nical.bugzilla,RESOLVED,INVALID,,nical.bugzilla,Jessie [:jbonisteel] pls NI,unspecified, ---,29-01-2015 05:08,normal,19-08-2015 03:44,19-08-2015 10:44,20,, ---,, ---,,,['CONCURRENCY']
1118720,defect,nightli lock mac os x,Firefox,General,nobody,NEW, ---,,briks.si,Justin Dolske [:Dolske],37 Branch, ---,07-01-2015 04:50,normal,07-01-2015 09:40,,5,, ---,, ---,,,['CONCURRENCY']
1122276,defect,email sign gmail second email account freez lock devic,Core,Panning and Zooming,kats,VERIFIED,FIXED,bzumwalt,mshuman,Botond Ballo [:botond],unspecified, ---,15-01-2015 14:42,normal,26-01-2015 15:32,17-01-2015 21:08,17,regression, ---,, ---,,,"['CRASH', 'CONCURRENCY']"
1120610,defect,tsan data race getrenderingint,Core,ImageLib,nobody,RESOLVED,DUPLICATE,,nfroyd,Andrew Osmond [:aosmond],unspecified, ---,12-01-2015 12:27,normal,12-01-2015 21:12,12-01-2015 21:20,5,, ---,, ---,,,['CONCURRENCY']
1120046,defect,rfc better error report forget lock origin post,Core,Networking,ishikawa,RESOLVED,FIXED,,ishikawa,Nhi Nguyen (:nhi),unspecified, ---,09-01-2015 20:28,normal,28-01-2017 13:13,28-01-2017 21:13,24,, ---,, ---,,,['CONCURRENCY']
1120545,defect,tsan data race shadowruntimefromanythread,Core,JavaScript: GC,nobody,NEW, ---,,nfroyd,Jon Coppeard (:jonco),unspecified, ---,12-01-2015 10:44,normal,02-04-2015 05:41,,7,, ---,, ---,,,['CONCURRENCY']
1119854,defect,ensur sync textur never deadlock,Core,Graphics: Layers,bas,RESOLVED,FIXED,,bas,Jessie [:jbonisteel] pls NI,unspecified, ---,09-01-2015 09:38,normal,16-02-2015 17:45,12-01-2015 10:49,7,, ---,, ---,,,['CONCURRENCY']
1120645,defect,use texturecli must destroy synchron,Core,Graphics: Layers,nical.bugzilla,RESOLVED,FIXED,,nical.bugzilla,Jessie [:jbonisteel] pls NI,unspecified, ---,12-01-2015 13:31,normal,13-01-2015 05:40,13-01-2015 13:40,4,, ---,, ---,,,"['PERFORMANCE', 'USABILITY', 'CONCURRENCY']"
1119550,defect,stop use volatil synchron,Core,JavaScript: GC,terrence.d.cole,RESOLVED,FIXED,,terrence.d.cole,Jon Coppeard (:jonco),Trunk, ---,08-01-2015 15:05,normal,28-02-2018 10:32,30-08-2016 21:08,9,, ---,, ---,,,"['CRASH', 'PERFORMANCE', 'USABILITY', 'CONCURRENCY']"
1120611,defect,tsan data race getrenderingint,Core,ImageLib,milaninbugzilla,RESOLVED,FIXED,,nfroyd,Andrew Osmond [:aosmond],unspecified, ---,12-01-2015 12:29,normal,10-02-2015 21:05,09-02-2015 21:39,15,, ---,, ---,,,['CONCURRENCY']
1124411,defect,deadlock backend,Core,Audio/Video,padenot,RESOLVED,FIXED,,khuey,Bryce Seager van Dyk (:bryce),unspecified, ---,21-01-2015 14:23,normal,19-02-2015 16:02,20-02-2015 00:02,12,, ---,, ---,,,['CONCURRENCY']
1121676,defect,use lock protect list actor,Core,IPC,bill.mccloskey,RESOLVED,FIXED,,bill.mccloskey,Jed Davis [:jld] ⟨⏰|UTC-6⟩ ⟦he/him⟧,unspecified, ---,14-01-2015 13:19,normal,10-12-2015 12:10,08-04-2015 16:25,20,, ---,, ---,,,"['PERFORMANCE', 'USABILITY', 'CONCURRENCY', 'SECURITY']"
1120579,defect,tsan data race getgcthingmarkwordandmask,Core,JavaScript: GC,nobody,NEW, ---,,nfroyd,Jon Coppeard (:jonco),unspecified, ---,12-01-2015 11:50,normal,05-06-2017 09:31,,11,, ---,, ---,,,['CONCURRENCY']
1122721,defect,profil deadlock sampler thread vs paus compositor thread,Core,Gecko Profiler,b56girard,RESOLVED,FIXED,,mstange.moz,Gerald Squelart [:gerald] (he/him),Trunk, ---,16-01-2015 12:59,normal,27-08-2015 08:47,27-08-2015 15:47,6,, ---,, ---,,,['CONCURRENCY']
1120229,enhancement,drop lock icon account symbol folder list warn insecur connect account creat modifi,Thunderbird,Folder and Message Lists,nobody,NEW, ---,,aryx.bugmail,,Trunk, ---,11-01-2015 10:31,normal,11-01-2015 10:31,,1,, ---,, ---,,,"['POLISH', 'CONCURRENCY', 'USABILITY']"
1127089,defect,lock prefer longer possibl,Core,Preferences: Backend,nobody,RESOLVED,WORKSFORME,,mozilla,Nicholas Nethercote [:njn],35 Branch, ---,28-01-2015 14:46,normal,28-01-2015 22:40,29-01-2015 00:42,4,, ---,, ---,,,['CONCURRENCY']
1120631,defect,tsan data race load,Core,Networking: Cache,honzab.moz,RESOLVED,FIXED,,nfroyd,Nhi Nguyen (:nhi),unspecified, ---,12-01-2015 13:16,normal,16-02-2015 07:19,16-02-2015 15:19,11,, ---,, ---,,,"['CONCURRENCY', 'PERFORMANCE']"
1122408,defect,potenti deadlock detect run mochitest option,Core,Graphics,kats,RESOLVED,FIXED,,kershaw,Jessie [:jbonisteel] pls NI,Trunk, ---,15-01-2015 23:50,normal,20-02-2015 11:56,18-01-2015 02:05,11,, ---,, ---,,,"['CONCURRENCY', 'PERFORMANCE']"
1124330,defect,unsaf usag cpow possibl race condit test,DevTools,Netmonitor,nobody,RESOLVED,DUPLICATE,,ahal,Jan Honza Odvarko [:Honza] (always need-info? me),unspecified, ---,21-01-2015 11:31,normal,13-06-2018 10:31,31-08-2016 19:32,5,, ---,, ---,,,"['CONCURRENCY', 'PERFORMANCE']"
1122017,defect,locat bar lock upgrad ff addon conflict,WebExtensions,General,nobody,RESOLVED,WORKSFORME,,loic,Shane Caraveo (:mixedpuppy),35 Branch, ---,15-01-2015 07:25,normal,18-10-2019 14:22,09-01-2018 12:07,5,, ---,, ---,,,"['USABILITY', 'CONCURRENCY']"
1600889,defect,threadsanit data race nsurlclassifierdbservic nsurlclassifierdbservicework gshuttingdownthread,Toolkit,Safe Browsing,dlee,RESOLVED,FIXED,,choller,Dimi Lee [:dimi][:dlee],Trunk, ---,03-12-2019 02:04,critical,23-12-2019 04:50,20-12-2019 21:57,5,, ---,, ---,,,['CONCURRENCY']
1601738,defect,threadsanit data race jsfunction nonlazyscript,Core,JavaScript Engine,jcoppeard,RESOLVED,FIXED,,choller,Steven DeTar [:sdetar],Trunk, ---,05-12-2019 11:17,critical,12-12-2019 20:13,13-12-2019 04:13,8,, ---,, ---,,,['CONCURRENCY']
1601620,defect,threadsanit data race getaverag mozilla mozilla,Core,Networking: Cache,michal.novotny,RESOLVED,FIXED,,choller,Nhi Nguyen (:nhi),Trunk, ---,05-12-2019 05:45,critical,05-12-2019 13:58,05-12-2019 21:58,6,, ---,, ---,,,['CONCURRENCY']
1600895,defect,threadsanit data race updateedg js isforward,Core,JavaScript: GC,jcoppeard,RESOLVED,FIXED,,choller,Jon Coppeard (:jonco),Trunk, ---,03-12-2019 02:25,critical,29-03-2020 23:01,23-03-2020 16:25,27,"intermittent-failure, regression", ---,, ---,,,"['CONCURRENCY', 'CRASH']"
1602009,defect,threadsanit data race mozilla mozilla msecurityobserv,Core,Networking: HTTP,kershaw,RESOLVED,FIXED,,choller,Nhi Nguyen (:nhi),Trunk, ---,06-12-2019 08:25,critical,30-12-2019 01:19,12-12-2019 21:57,10,, ---,, ---,,,['CONCURRENCY']
1602313,defect,threadsanit data race mozilla,Core,Networking: HTTP,honzab.moz,RESOLVED,FIXED,,choller,Nhi Nguyen (:nhi),Trunk, ---,08-12-2019 11:28,critical,03-02-2020 18:32,31-01-2020 21:38,8,, ---,, ---,,,['CONCURRENCY']
1602026,defect,threadsanit data race resolvedbytrr resolvedbytrr mresolvedbytrr,Core,Networking: HTTP,kershaw,RESOLVED,FIXED,,choller,Nhi Nguyen (:nhi),Trunk, ---,06-12-2019 09:10,critical,12-12-2019 13:57,12-12-2019 21:57,6,, ---,, ---,,,['CONCURRENCY']
1603504,defect,threadsanit data race pickl memcpi race httpchannelpar,Core,Networking: HTTP,kershaw,RESOLVED,FIXED,,choller,Nhi Nguyen (:nhi),Trunk, ---,12-12-2019 09:54,critical,19-02-2020 14:50,15-02-2020 09:58,7,, ---,, ---,,,['CONCURRENCY']
1600680,defect,anoth race condit autocomplet,DevTools,Console,nchevobbe,RESOLVED,FIXED,,felash,Nicolas Chevobbe [:nchevobbe],unspecified, ---,02-12-2019 09:32,normal,24-03-2020 10:33,19-12-2019 22:01,5,, ---,, ---,,,['CONCURRENCY']
1605479,enhancement,enterpris polici lock sideload scope,WebExtensions,General,nobody,RESOLVED,WONTFIX,,mixedpuppy,Shane Caraveo (:mixedpuppy),unspecified, ---,20-12-2019 13:25,normal,16-01-2020 12:28,16-01-2020 20:28,2,, ---,, ---,,,['CONCURRENCY']
1601940,defect,threadsanit data race mozilla markasynctransformappliedtocont,Core,Panning and Zooming,botond,RESOLVED,FIXED,,choller,Botond Ballo [:botond],Trunk, ---,06-12-2019 04:33,critical,28-02-2020 20:19,29-02-2020 04:07,14,, ---,, ---,,,['CONCURRENCY']
1601717,defect,threadsanit data race mozilla mozilla,Core,DOM: Bindings (WebIDL),bzbarsky,RESOLVED,FIXED,,choller,Edgar Chen [:edgar],Trunk, ---,05-12-2019 10:07,critical,09-12-2019 13:54,09-12-2019 21:54,11,, ---,, ---,,,['CONCURRENCY']
1601980,defect,threadsanit data race mozilla mozilla,Core,ImageLib,nobody,NEW, ---,,choller,Andrew Osmond [:aosmond],Trunk, ---,06-12-2019 06:38,critical,16-01-2020 07:53,,4,, ---,, ---,,,['CONCURRENCY']
1601632,defect,threadsanit data race mozilla mozilla mtoken,Core,XPConnect,nobody,NEW, ---,,choller,Peter Van der Beken [:peterv],Trunk, ---,05-12-2019 06:12,critical,24-05-2020 23:41,,4,, ---,, ---,,,['CONCURRENCY']
1600567,defect,threadsanit data race oper apzctreemanag,Core,Graphics,botond,RESOLVED,FIXED,,choller,Jessie [:jbonisteel] pls NI,Trunk, ---,02-12-2019 02:43,critical,03-01-2020 09:35,03-12-2019 09:54,11,regression, ---,, ---,,,['CONCURRENCY']
1601600,defect,threadsanit data race store memcpi,Core,Graphics: Layers,nobody,NEW, ---,,choller,Jessie [:jbonisteel] pls NI,Trunk, ---,05-12-2019 04:48,critical,13-12-2019 06:57,,7,, ---,, ---,,,['CONCURRENCY']
1601286,defect,threadsanit data race flagsfield setflagbit,Core,JavaScript Engine,nobody,NEW, ---,,choller,Steven DeTar [:sdetar],Trunk, ---,04-12-2019 06:40,critical,31-05-2020 11:42,,5,, ---,, ---,,,['CONCURRENCY']
1602182,defect,sync lock prefer,Firefox,Sync,nobody,UNCONFIRMED, ---,,david,Mark Hammond [:markh] [:mhammond],71 Branch, ---,06-12-2019 21:37,normal,08-12-2019 16:35,,3,, ---,, ---,,,['CONCURRENCY']
1602727,task,destroy call sever time synchron,DevTools,General,jdescottes,RESOLVED,FIXED,,jdescottes,Jan Honza Odvarko [:Honza] (always need-info? me),unspecified, ---,10-12-2019 02:25,normal,16-12-2019 01:52,16-12-2019 09:52,8,, ---,, ---,,,"['PERFORMANCE', 'CONCURRENCY']"
1601111,defect,race condit normandi migrat ui startup,Firefox,Normandy Client,nobody,NEW, ---,,mcooper,Michael Cooper [:mythmon],unspecified, ---,03-12-2019 15:04,normal,19-12-2019 09:43,,2,, ---,, ---,,,['CONCURRENCY']
1604627,task,sync pr exclud atom inlin layoutinlin,Core,DOM: CSS Object Model,wptsync,RESOLVED,FIXED,,wptsync,Sean Voisen (:svoisen),unspecified, ---,17-12-2019 13:21,normal,23-12-2019 08:32,23-12-2019 16:32,6,, ---,, ---,,,['CONCURRENCY']
1600673,defect,intermitt deadlock,GeckoView,General,nobody,NEW, ---,,intermittent-bug-filer,Emily Toop (:fluffyemily),unspecified, ---,02-12-2019 09:13,normal,15-12-2019 22:24,,2,intermittent-failure, ---,, ---,,,"['CONCURRENCY', 'CRASH']"
1604509,task,investig atom mark bitmap dure gc,Core,JavaScript: GC,nobody,NEW, ---,,jcoppeard,Jon Coppeard (:jonco),unspecified, ---,17-12-2019 07:33,normal,18-12-2019 17:09,,2,, ---,, ---,,,['CONCURRENCY']
1600639,defect,intermitt mous pointermov getcoalescedev lock test coalesc event expect number great,Core,DOM: Events,nobody,RESOLVED,INCOMPLETE,,intermittent-bug-filer,Hsin-Yi Tsai [:hsinyi],unspecified, ---,02-12-2019 07:31,normal,14-04-2020 10:01,14-04-2020 17:01,16,intermittent-failure, ---,, ---,,,"['USABILITY', 'CONCURRENCY', 'PERFORMANCE', 'CRASH']"
1601597,defect,threadsanit data race style length race global starrayhead,Core,General,choller,RESOLVED,FIXED,,choller,Andrew Overholt [:overholt],Trunk, ---,05-12-2019 04:18,critical,05-12-2019 13:57,05-12-2019 21:57,4,, ---,, ---,,,['CONCURRENCY']
1600594,defect,threadsanit data race oper bool mcurrentperformancecount refptr,Core,XPCOM,nobody,NEW, ---,,choller,Nathan Froyd [:froydnj],Trunk, ---,02-12-2019 04:41,critical,19-04-2020 23:14,,3,, ---,, ---,,,['CONCURRENCY']
1600572,defect,threadsanit data race mozilla schedulereventtarget startup,Core,XPCOM,nobody,NEW, ---,,choller,Nathan Froyd [:froydnj],Trunk, ---,02-12-2019 03:00,critical,05-12-2019 09:31,,2,, ---,, ---,,,['CONCURRENCY']
1602846,defect,abl enter idenf code sent via sm lock account,Web Compatibility,Desktop,nobody,RESOLVED,WORKSFORME,,ycho,Mike Taylor [:miketaylr],unspecified, ---,10-12-2019 09:34,normal,02-06-2020 11:41,02-06-2020 18:41,3,, ---,, ---,,,"['USABILITY', 'CONCURRENCY']"
1603838,task,doh trr select race experi,Data Science,Experiment Collaboration,tdsmith,RESOLVED,INACTIVE,,wthayer,rweiss@mozilla.com,unspecified, ---,13-12-2019 12:46,normal,13-04-2020 13:22,13-04-2020 20:22,4,, ---,, ---,,,"['USABILITY', 'CONCURRENCY']"
1601587,task,extend datamutex usabl lock,Core,XPCOM,nobody,NEW, ---,,sgiesecke,Nathan Froyd [:froydnj],unspecified, ---,05-12-2019 03:00,normal,23-01-2020 04:01,,2,, ---,, ---,,,['CONCURRENCY']
1605709,defect,firefox complet lock linux make necessari press system reset button,Core,Widget: Gtk,nobody,UNCONFIRMED, ---,,marissafoxdale,Martin Stránský [:stransky],71 Branch, ---,23-12-2019 04:15,normal,07-02-2020 13:50,,4,, ---,, ---,,,"['CONCURRENCY', 'USABILITY']"
1603962,task,add comment explain whi addjsonviewtab race two load promis,DevTools,JSON Viewer,oriol-bugzilla,RESOLVED,FIXED,,oriol-bugzilla,Jan Honza Odvarko [:Honza] (always need-info? me),unspecified, ---,14-12-2019 11:43,normal,16-12-2019 09:24,16-12-2019 17:24,4,, ---,, ---,,,"['REGRESSION', 'CONCURRENCY', 'PERFORMANCE']"
1600964,defect,could load xpcom error possibl race condit startup hibern,Core,XPCOM,nobody,NEW, ---,,mhoye,Nathan Froyd [:froydnj],unspecified, ---,03-12-2019 07:37,normal,03-12-2019 12:43,,3,, ---,, ---,,,"['PERFORMANCE', 'CONCURRENCY']"
1606426,enhancement,synchron via sync,Firefox,Sync,nobody,RESOLVED,DUPLICATE,,racahill,Mark Hammond [:markh] [:mhammond],71 Branch, ---,31-12-2019 00:59,normal,05-01-2020 20:44,06-01-2020 04:44,3,, ---,, ---,,,['CONCURRENCY']
1601453,defect,maco file download failur lock window,Core,Audio/Video: Playback,nobody,UNCONFIRMED, ---,,me,Bryce Seager van Dyk (:bryce),73 Branch, ---,04-12-2019 13:50,normal,17-12-2019 08:35,,2,, ---,, ---,,,"['CRASH', 'CONCURRENCY', 'USABILITY']"
1600581,enhancement,add perfherd metric main step synchron,Firefox,Remote Settings Client,mathieu,RESOLVED,FIXED,,mathieu,Mathieu Leplatre [:leplatrem],unspecified, ---,02-12-2019 03:48,normal,17-02-2020 06:39,05-02-2020 16:38,5,, ---,, ---,,,"['REGRESSION', 'CONCURRENCY']"
1606473,defect,high anr rate fennec relat stuck partial wake lock,Firefox for Android,General,nobody,RESOLVED,WONTFIX,,mozillamarcia.knous,Stefan Arentz [:st3fan],Firefox 68, ---,31-12-2019 09:39,normal,19-02-2020 14:34,13-02-2020 14:10,5,regression, ---,, ---,,,['CONCURRENCY']
1601254,defect,watch youtub randomli lock linux,Core,Audio/Video: Playback,nobody,RESOLVED,INCOMPLETE,,rajindery,Bryce Seager van Dyk (:bryce),70 Branch, ---,04-12-2019 04:56,normal,09-12-2019 12:22,09-12-2019 20:22,4,, ---,, ---,,,['CONCURRENCY']
1602512,defect,command abort race condit,Taskcluster,Workers,pmoore,RESOLVED,FIXED,,pmoore,,unspecified, ---,09-12-2019 09:25,normal,18-12-2019 09:29,18-12-2019 17:29,3,, ---,, ---,,,['CONCURRENCY']
1602399,defect,synchron recent week synchron messag,Thunderbird,Account Manager,nobody,UNCONFIRMED, ---,,robert,,72, ---,09-12-2019 03:21,normal,17-01-2020 21:35,,5,, ---,, ---,,,['CONCURRENCY']
1596146,task,cfr experi requir synchron remoteset,Firefox,Messaging System,vng,RESOLVED,FIXED,,vng,Tim Spurway [:tspurway],unspecified, ---,13-11-2019 08:53,normal,13-12-2019 16:02,14-12-2019 00:00,3,, ---,, ---,,,['CONCURRENCY']
